mesh size = 12
temperatures   free_energy      entropy        heat_capacity
       0.000    9177.7758799      0.0000000      0.0000000
      10.000    9177.7416085     14.7411024     45.6347491
      20.000    9177.2446564     95.5226026    221.1714073
      30.000    9175.6687633    225.2919682    433.9472730
      40.000    9172.6621389    378.4842257    638.0606863
      50.000    9168.0681308    541.1886091    824.1048898
      60.000    9161.8296418    706.6212778    993.1876368
      70.000    9153.9376163    871.5342160   1148.3645492
      80.000    9144.4058978   1034.3912680   1292.4151171
      90.000    9133.2590195   1194.4928798   1427.4676434
     100.000    9120.5261861   1351.5576143   1555.1283660
     110.000    9106.2382154   1505.5217489   1676.6818608
     120.000    9090.4259057   1656.4417535   1793.2311304
     130.000    9073.1191101   1804.4441701   1905.7637529
     140.000    9054.3461899   1949.6970557   2015.1688966
     150.000    9034.1336979   2092.3915958   2122.2324112
     160.000    9012.5062147   2232.7291521   2227.6279263
     170.000    8989.4862971   2370.9118107   2331.9123480
     180.000    8965.0945069   2507.1355629   2435.5278674
     190.000    8939.3494967   2641.5855966   2538.8095102
     200.000    8912.2681344   2774.4332851   2641.9962719
     210.000    8883.8656508   2905.8345028   2745.2439579
     220.000    8854.1557985   3035.9289427   2848.6383189
     230.000    8823.1510142   3164.8401591   2952.2075825
     240.000    8790.8625778   3292.6761130   3055.9338926
     250.000    8757.3007639   3419.5300480   3159.7634526
     260.000    8722.4749836   3545.4815656   3263.6153408
     270.000    8686.3939155   3670.5978074   3367.3890592
     280.000    8649.0656242   3794.9346747   3470.9709204
     290.000    8610.4976661   3918.5380401   3574.2393920
     300.000    8570.6971842   4041.4449187   3677.0695124
     310.000    8529.6709910   4163.6845788   3779.3364905
     320.000    8487.4256408   4285.2795788   3880.9185868
     330.000    8443.9674918   4406.2467230   3981.6993666
     340.000    8399.3027590   4526.5979342   4081.5694083
     350.000    8353.4375597   4646.3410422   4180.4275404
     360.000    8306.3779501   4765.4804898   4278.1816758
     370.000    8258.1299563   4884.0179612   4374.7493065
     380.000    8208.6995990   5001.9529344   4470.0577142
     390.000    8158.0929132   5119.2831657   4564.0439483
     400.000    8106.3159632   5236.0051090   4656.6546179
     410.000    8053.3748536   5352.1142760   4747.8455370
     420.000    7999.2757373   5467.6055444   4837.5812608
     430.000    7944.0248207   5582.4734162   4925.8345409
     440.000    7887.6283658   5696.7122346   5012.5857292
     450.000    7830.0926916   5810.3163615   5097.8221493
     460.000    7771.4241725   5923.2803228   5181.5374571
     470.000    7711.6292364   6035.5989232   5263.7310018
     480.000    7650.7143614   6147.2673361   5344.4072023
     490.000    7588.6860717   6258.2811716   5423.5749462
     500.000    7525.5509329   6368.6365255   5501.2470182
     510.000    7461.3155474   6478.3300130   5577.4395637
     520.000    7395.9865485   6587.3587882   5652.1715890
     530.000    7329.5705951   6695.7205537   5725.4645019
     540.000    7262.0743666   6803.4135601   5797.3416910
     550.000    7193.5045572   6910.4365987   5867.8281446
     560.000    7123.8678702   7016.7889882   5936.9501089
     570.000    7053.1710135   7122.4705568   6004.7347818
     580.000    6981.4206941   7227.4816212   6071.2100427
     590.000    6908.6236136   7331.8229625   6136.4042143
     600.000    6834.7864633   7435.4958006   6200.3458557
     610.000    6759.9159205   7538.5017678   6263.0635826
     620.000    6684.0186442   7640.8428815   6324.5859143
     630.000    6607.1012712   7742.5215169   6384.9411431
     640.000    6529.1704131   7843.5403802   6444.1572252
     650.000    6450.2326528   7943.9024819   6502.2616905
     660.000    6370.2945417   8043.6111110   6559.2815685
     670.000    6289.3625970   8142.6698110   6615.2433302
     680.000    6207.4432994   8241.0823551   6670.1728418
     690.000    6124.5430905   8338.8527247   6724.0953310
     700.000    6040.6683716   8435.9850873   6777.0353620
     710.000    5955.8255011   8532.4837769   6829.0168201
     720.000    5870.0207934   8628.3532748   6880.0629028
     730.000    5783.2605175   8723.5981923   6930.1961177
     740.000    5695.5508957   8818.2232538   6979.4382849
     750.000    5606.8981026   8912.2332819   7027.8105447
     760.000    5517.3082639   9005.6331831   7075.3333677
     770.000    5426.7874561   9098.4279350   7122.0265687
     780.000    5335.3417055   9190.6225736   7167.9093227
     790.000    5242.9769880   9282.2221833   7213.0001818
     800.000    5149.6992282   9373.2318858   7257.3170949
     810.000    5055.5142995   9463.6568313   7300.8774268
     820.000    4960.4280236   9553.5021902   7343.6979793
     830.000    4864.4461704   9642.7731451   7385.7950114
     840.000    4767.5744580   9731.4748839   7427.1842604
     850.000    4669.8185528   9819.6125938   7467.8809626
     860.000    4571.1840690   9907.1914553   7507.8998738
     870.000    4471.6765693   9994.2166369   7547.2552894
     880.000    4371.3015647  10080.6932912   7585.9610638
     890.000    4270.0645148  10166.6265497   7624.0306299
     900.000    4167.9708280  10252.0215203   7661.4770169
     910.000    4065.0258617  10336.8832831   7698.3128686
     920.000    3961.2349228  10421.2168877   7734.5504601
     930.000    3856.6032678  10505.0273509   7770.2017140
     940.000    3751.1361030  10588.3196542   7805.2782165
     950.000    3644.8385854  10671.0987419   7839.7912315
     960.000    3537.7158225  10753.3695191   7873.7517155
     970.000    3429.7728732  10835.1368506   7907.1703301
     980.000    3321.0147476  10916.4055595   7940.0574558
     990.000    3211.4464081  10997.1804256   7972.4232029
    1000.000    3101.0727694  11077.4661854   8004.2774239
