    0.005000 276317.389022    -0.013863     0.031577
    0.010000 552634.791692    -0.013993     0.032188
    0.015000 828952.194340    -0.014033     0.032835
    0.020000 1105269.596727    -0.013964     0.031276
    0.030000 1657904.401422    -0.014092     0.031922
    0.050000 2763174.007694    -0.013964     0.032152
    0.080000 4421078.413329    -0.013722     0.031401
    0.130000 7184252.418598    -0.013959     0.032247
    0.200000 11052696.022566    -0.013963     0.032539
    0.320000 17684313.626487    -0.013916     0.032235
    0.500000 27631740.030274    -0.013831     0.031593
