    0.005000 276317.387542    -0.013930     0.031978
    0.010000 552634.789217    -0.013905     0.031990
    0.015000 828952.190484    -0.013970     0.031815
    0.020000 1105269.592128    -0.013826     0.031833
    0.030000 1657904.395011    -0.013748     0.032125
    0.050000 2763173.999472    -0.013674     0.031792
    0.080000 4421078.404065    -0.014017     0.031603
    0.130000 7184252.408243    -0.013953     0.031761
    0.200000 11052696.010962    -0.013908     0.032245
    0.320000 17684313.613642    -0.013868     0.031802
    0.500000 27631740.016242    -0.013911     0.031656
