    0.005000    -0.013732    -0.013812 276317.432282
    0.010000    -0.013780    -0.013808 552634.833073
    0.015000    -0.013767    -0.013852 828952.233727
    0.020000    -0.013886    -0.013755 1105269.634475
    0.030000    -0.013774    -0.013861 1657904.435293
    0.050000    -0.013793    -0.013826 2763174.036464
    0.080000    -0.013823    -0.013802 4421078.437427
    0.130000    -0.013840    -0.013793 7184252.438354
    0.200000    -0.013847    -0.013795 11052696.039353
    0.320000    -0.013813    -0.013798 17684313.640777
    0.500000    -0.013813    -0.013802 27631740.042165
