mesh size = 12
temperatures   free_energy      entropy        heat_capacity
       0.000    9134.1736131      0.0000000      0.0000000
      10.000    9134.0529320     41.7186362     95.5337761
      20.000    9133.0263623    173.8333610    315.6630040
      30.000    9130.4551623    343.6935832    533.8516251
      40.000    9126.1166386    524.7796404    730.7990261
      50.000    9119.9559556    707.1317160    907.0295833
      60.000    9111.9830432    886.8484551   1066.8960687
      70.000    9102.2325509   1062.5269009   1214.4086641
      80.000    9090.7472716   1233.7874853   1352.3326937
      90.000    9077.5714691   1400.6522030   1482.4631939
     100.000    9062.7483077   1563.2945402   1606.0545849
     110.000    9046.3188865   1721.9451496   1724.1215430
     120.000    9028.3218640   1876.8583406   1837.5889048
     130.000    9008.7932933   2028.2995939   1947.3374544
     140.000    8987.7665451   2176.5389017   2054.1966993
     150.000    8965.2722913   2321.8451756   2158.9206027
     160.000    8941.3385422   2464.4808988   2262.1655699
     170.000    8915.9907359   2604.6973362   2364.4779685
     180.000    8889.2518704   2742.7306933   2466.2917334
     190.000    8861.1426687   2878.7994072   2567.9337633
     200.000    8831.6817653   3013.1025463   2669.6342063
     210.000    8800.8859039   3145.8191704   2771.5391481
     220.000    8768.7701376   3277.1084507   2873.7239233
     230.000    8735.3480242   3407.1103475   2976.2059448
     240.000    8700.6318140   3535.9466689   3078.9564540
     250.000    8664.6326245   3663.7223662   3181.9109381
     260.000    8627.3606021   3790.5269579   3284.9781626
     270.000    8588.8250691   3916.4359995   3388.0478799
     280.000    8549.0346559   4041.5125455   3490.9973224
     290.000    8507.9974189   4165.8085620   3593.6966081
     300.000    8465.7209448   4289.3662675   3696.0131843
     310.000    8422.2124414   4412.2193849   3797.8154247
     320.000    8377.4788170   4534.3942975   3898.9754899
     330.000    8331.5267485   4655.9111043   3999.3715445
     340.000    8284.3627389   4776.7845763   4098.8894195
     350.000    8235.9931667   4897.0250149   4197.4237986
     360.000    8186.4243264   5016.6390168   4294.8789976
     370.000    8135.6624623   5135.6301508   4391.1694045
     380.000    8083.7137956   5253.9995523   4486.2196358
     390.000    8030.5845461   5371.7464416   4579.9644635
     400.000    7976.2809492   5488.8685718   4672.3485576
     410.000    7920.8092683   5605.3626139   4763.3260872
     420.000    7864.1758041   5721.2244840   4852.8602151
     430.000    7806.3869010   5836.4496193   4940.9225162
     440.000    7747.4489502   5951.0332087   5027.4923484
     450.000    7687.3683915   6064.9703824   5112.5561948
     460.000    7626.1517132   6178.2563665   5196.1069982
     470.000    7563.8054501   6290.8866069   5278.1435008
     480.000    7500.3361811   6402.8568658   5358.6696010
     490.000    7435.7505256   6514.1632955   5437.6937363
     500.000    7370.0551393   6624.8024929   5515.2282985
     510.000    7303.2567096   6734.7715369   5591.2890849
     520.000    7235.3619505   6844.0680123   5665.8947906
     530.000    7166.3775976   6952.6900217   5739.0665397
     540.000    7096.3104029   7060.6361885   5810.8274597
     550.000    7025.1671296   7167.9056515   5881.2022951
     560.000    6952.9545468   7274.4980538   5950.2170613
     570.000    6879.6794250   7380.4135271   6017.8987361
     580.000    6805.3485308   7485.6526715   6084.2749867
     590.000    6729.9686226   7590.2165337   6149.3739303
     600.000    6653.5464462   7694.1065825   6213.2239257
     610.000    6576.0887308   7797.3246832   6275.8533931
     620.000    6497.6021849   7899.8730720   6337.2906607
     630.000    6418.0934932   8001.7543291   6397.5638334
     640.000    6337.5693125   8102.9713532   6456.7006843
     650.000    6256.0362696   8203.5273355   6514.7285640
     660.000    6173.5009578   8303.4257350   6571.6743277
     670.000    6089.9699345   8402.6702543   6627.5642759
     680.000    6005.4497192   8501.2648169   6682.4241097
     690.000    5919.9467910   8599.2135450   6736.2788966
     700.000    5833.4675868   8696.5207388   6789.1530462
     710.000    5746.0184998   8793.1908571   6841.0702945
     720.000    5657.6058779   8889.2284988   6892.0536959
     730.000    5568.2360224   8984.6383859   6942.1256208
     740.000    5477.9151866   9079.4253473   6991.3077585
     750.000    5386.6495754   9173.5943040   7039.6211246
     760.000    5294.4453439   9267.1502555   7087.0860714
     770.000    5201.3085968   9360.0982672   7133.7223020
     780.000    5107.2453880   9452.4434582   7179.5488858
     790.000    5012.2617198   9544.1909914   7224.5842760
     800.000    4916.3635430   9635.3460627   7268.8463286
     810.000    4819.5567560   9725.9138931   7312.3523220
     820.000    4721.8472052   9815.8997196   7355.1189773
     830.000    4623.2406842   9905.3087884   7397.1624790
     840.000    4523.7429344   9994.1463478   7438.4984955
     850.000    4423.3596448  10082.4176424   7479.1421998
     860.000    4322.0964517  10170.1279072   7519.1082898
     870.000    4219.9589393  10257.2823633   7558.4110081
     880.000    4116.9526398  10343.8862126   7597.0641613
     890.000    4013.0830332  10429.9446347   7635.0811391
     900.000    3908.3555480  10515.4627827   7672.4749322
     910.000    3802.7755613  10600.4457804   7709.2581500
     920.000    3696.3483992  10684.8987194   7745.4430371
     930.000    3589.0793369  10768.8266565   7781.0414899
     940.000    3480.9735994  10852.2346120   7816.0650713
     950.000    3372.0363614  10935.1275672   7850.5250259
     960.000    3262.2727482  11017.5104632   7884.4322936
     970.000    3151.6878360  11099.3881993   7917.7975226
     980.000    3040.2866519  11180.7656319   7950.6310826
     990.000    2928.0741750  11261.6475732   7982.9430758
    1000.000    2815.0553362  11342.0387908   8014.7433487
