    0.005000    -0.014252    -0.013723 276317.440397
    0.010000    -0.014251    -0.013666 552634.848860
    0.015000    -0.013530    -0.013415 828952.254178
    0.020000    -0.014019    -0.014217 1105269.658558
    0.030000    -0.013722    -0.013716 1657904.465297
    0.050000    -0.013589    -0.013749 2763174.074314
    0.080000    -0.013742    -0.013810 4421078.484166
    0.130000    -0.013772    -0.013545 7184252.494155
    0.200000    -0.013796    -0.013903 11052696.101605
    0.320000    -0.013779    -0.013815 17684313.708272
    0.500000    -0.013821    -0.013811 27631740.113676
