    0.005000 276317.389114    -0.013788     0.032059
    0.010000 552634.791375    -0.014130     0.031702
    0.015000 828952.194762    -0.013951     0.031722
    0.020000 1105269.597412    -0.014076     0.031888
    0.030000 1657904.402899    -0.013545     0.032074
    0.050000 2763174.011835    -0.014132     0.032212
    0.080000 4421078.418838    -0.013936     0.031751
    0.130000 7184252.424660    -0.013960     0.031846
    0.200000 11052696.028506    -0.013940     0.032521
    0.320000 17684313.632250    -0.013947     0.031935
    0.500000 27631740.035790    -0.013950     0.032899
