    0.005000 276317.386253    -0.013789     0.031587
    0.010000 552634.786297    -0.013790     0.031589
    0.015000 828952.186343    -0.013790     0.031587
    0.020000 1105269.586385    -0.013790     0.031588
    0.030000 1657904.386472    -0.013790     0.031589
    0.050000 2763173.986647    -0.013788     0.031588
    0.080000 4421078.386910    -0.013791     0.031588
    0.130000 7184252.387347    -0.013789     0.031588
    0.200000 11052695.987963    -0.013790     0.031589
    0.320000 17684313.589030    -0.013789     0.031588
    0.500000 27631739.990658    -0.013788     0.031588
