    0.005000 276317.387357    -0.013790     0.031653
    0.010000 552634.788399    -0.013849     0.031653
    0.015000 828952.189341    -0.013922     0.031654
    0.020000 1105269.590090    -0.013867     0.031652
    0.030000 1657904.391037    -0.013847     0.031653
    0.050000 2763173.992125    -0.013817     0.031653
    0.080000 4421078.392864    -0.013839     0.031653
    0.130000 7184252.393601    -0.013851     0.031654
    0.200000 11052695.994401    -0.013847     0.031653
    0.320000 17684313.595556    -0.013841     0.031652
    0.500000 27631739.997084    -0.013844     0.031653
