    0.00500000     3.70196043     1.18943098     0.99969396
    0.01000000     3.52770874     1.02826930     0.99925859
    0.01500000     3.39458685     0.96437334     1.00054337
    0.02000000     3.21885657     1.00439318     0.99953748
    0.03000000     2.83562490     1.01015915     0.99988071
    0.05000000     2.34717541     1.01287039     0.99995098
    0.08000000     1.94627469     1.00498184     1.00001963
    0.13000000     1.64638703     1.00201611     1.00001985
    0.20000000     1.46535834     1.00152300     0.99999490
    0.32000000     1.33157909     1.00116137     0.99997051
    0.50000000     1.24672543     1.00069124     1.00000117
