    0.00500000     0.00007466     0.00000523    -0.00000001
    0.01000000     0.00013969     0.00000156    -0.00000004
    0.01500000     0.00019850    -0.00000295     0.00000005
    0.02000000     0.00024524     0.00000049    -0.00000005
    0.03000000     0.00030433     0.00000168    -0.00000002
    0.05000000     0.00037225     0.00000356    -0.00000001
    0.08000000     0.00041836     0.00000220     0.00000001
    0.13000000     0.00046438     0.00000145     0.00000001
    0.20000000     0.00051435     0.00000168    -0.00000001
    0.32000000     0.00058637     0.00000205    -0.00000005
    0.50000000     0.00068175     0.00000191     0.00000000
