    0.005000    -0.013810    -0.013547 276317.435375
    0.010000    -0.014094    -0.013923 552634.838474
    0.015000    -0.014019    -0.013755 828952.240960
    0.020000    -0.013899    -0.013379 1105269.644163
    0.030000    -0.013970    -0.014035 1657904.450117
    0.050000    -0.014003    -0.013820 2763174.055571
    0.080000    -0.013773    -0.013823 4421078.460510
    0.130000    -0.013726    -0.013811 7184252.464881
    0.200000    -0.013918    -0.013884 11052696.068223
    0.320000    -0.013856    -0.013877 17684313.671441
    0.500000    -0.013847    -0.013850 27631740.074469
