    0.005000 276317.392106    -0.013904     0.031415
    0.010000 552634.798852    -0.013497     0.031750
    0.015000 828952.204428    -0.014039     0.032055
    0.020000 1105269.610027    -0.013883     0.031380
    0.030000 1657904.418212    -0.013573     0.031642
    0.050000 2763174.030108    -0.013381     0.031654
    0.080000 4421078.440795    -0.013793     0.031860
    0.130000 7184252.450230    -0.013816     0.031327
    0.200000 11052696.057457    -0.013942     0.031659
    0.320000 17684313.664163    -0.013559     0.031742
    0.500000 27631740.069906    -0.013604     0.031714
