    0.005000    -0.013895    -0.013883 276317.431669
    0.010000    -0.013875    -0.013876 552634.831712
    0.015000    -0.013894    -0.013820 828952.231755
    0.020000    -0.013951    -0.013851 1105269.631797
    0.030000    -0.013789    -0.013902 1657904.431880
    0.050000    -0.013841    -0.013891 2763174.032052
    0.080000    -0.014004    -0.013880 4421078.432306
    0.130000    -0.013741    -0.013716 7184252.432741
    0.200000    -0.013776    -0.013839 11052696.033374
    0.320000    -0.013852    -0.013892 17684313.634606
    0.500000    -0.013810    -0.013807 27631740.036321
