    0.005000    -0.013797    -0.013796 276317.431637
    0.010000    -0.013797    -0.013796 552634.831662
    0.015000    -0.013796    -0.013797 828952.231688
    0.020000    -0.013797    -0.013796 1105269.631714
    0.030000    -0.013797    -0.013796 1657904.431766
    0.050000    -0.013797    -0.013797 2763174.031870
    0.080000    -0.013797    -0.013797 4421078.432027
    0.130000    -0.013797    -0.013798 7184252.432287
    0.200000    -0.013796    -0.013796 11052696.032651
    0.320000    -0.013796    -0.013797 17684313.633276
    0.500000    -0.013798    -0.013798 27631740.034214
