    0.005000    -0.013796    -0.013799 276317.431830
    0.010000    -0.013798    -0.013798 552634.831866
    0.015000    -0.013797    -0.013797 828952.231903
    0.020000    -0.013797    -0.013800 1105269.631939
    0.030000    -0.013798    -0.013799 1657904.432011
    0.050000    -0.013799    -0.013800 2763174.032155
    0.080000    -0.013798    -0.013799 4421078.432371
    0.130000    -0.013798    -0.013799 7184252.432732
    0.200000    -0.013798    -0.013800 11052696.033236
    0.320000    -0.013799    -0.013799 17684313.634101
    0.500000    -0.013797    -0.013798 27631740.035398
