    0.005000    -0.014090    -0.014184 276317.435192
    0.010000    -0.013904    -0.014132 552634.838280
    0.015000    -0.013981    -0.014243 828952.241093
    0.020000    -0.014037    -0.013815 1105269.644220
    0.030000    -0.013968    -0.013896 1657904.447953
    0.050000    -0.013912    -0.013534 2763174.053354
    0.080000    -0.013870    -0.014098 4421078.458319
    0.130000    -0.013900    -0.013842 7184252.463027
    0.200000    -0.013836    -0.013927 11052696.066829
    0.320000    -0.014054    -0.013754 17684313.670898
    0.500000    -0.013887    -0.013964 27631740.074565
