    0.005000 276317.386637    -0.013833     0.031785
    0.010000 552634.786997    -0.013754     0.031719
    0.015000 828952.187254    -0.013821     0.031691
    0.020000 1105269.587644    -0.013858     0.031883
    0.030000 1657904.388330    -0.013762     0.031631
    0.050000 2763173.989692    -0.013867     0.031850
    0.080000 4421078.391056    -0.013854     0.031598
    0.130000 7184252.392696    -0.013743     0.032338
    0.200000 11052695.994153    -0.013762     0.031239
    0.320000 17684313.595886    -0.013814     0.031268
    0.500000 27631739.997962    -0.013779     0.031085
