    0.005000 276317.393129    -0.013968     0.031746
    0.010000 552634.800037    -0.014012     0.032095
    0.015000 828952.205713    -0.014836     0.032043
    0.020000 1105269.611962    -0.013478     0.031786
    0.030000 1657904.422963    -0.013744     0.031967
    0.050000 2763174.036045    -0.014014     0.031882
    0.080000 4421078.447036    -0.013680     0.031679
    0.130000 7184252.456201    -0.013965     0.031903
    0.200000 11052696.062713    -0.013787     0.031806
    0.320000 17684313.668850    -0.013759     0.031724
    0.500000 27631740.074243    -0.013702     0.031911
