    0.005000 276317.387463    -0.013592     0.031282
    0.010000 552634.788409    -0.013634     0.031280
    0.015000 828952.189242    -0.013787     0.031279
    0.020000 1105269.590046    -0.013655     0.031279
    0.030000 1657904.391138    -0.013778     0.031281
    0.050000 2763173.992534    -0.013627     0.031281
    0.080000 4421078.393322    -0.013691     0.031278
    0.130000 7184252.394051    -0.013687     0.031280
    0.200000 11052695.994862    -0.013695     0.031280
    0.320000 17684313.596091    -0.013691     0.031282
    0.500000 27631739.997820    -0.013699     0.031279
