    0.005000 276317.386241    -0.013801     0.031622
    0.010000 552634.786281    -0.013801     0.031622
    0.015000 828952.186323    -0.013801     0.031622
    0.020000 1105269.586365    -0.013802     0.031623
    0.030000 1657904.386447    -0.013802     0.031623
    0.050000 2763173.986613    -0.013802     0.031622
    0.080000 4421078.386861    -0.013803     0.031622
    0.130000 7184252.387278    -0.013802     0.031623
    0.200000 11052695.987861    -0.013800     0.031622
    0.320000 17684313.588874    -0.013801     0.031623
    0.500000 27631739.990417    -0.013800     0.031622
