    0.005000    -0.013801    -0.013802 276317.431650
    0.010000    -0.013802    -0.013800 552634.831676
    0.015000    -0.013801    -0.013802 828952.231703
    0.020000    -0.013800    -0.013801 1105269.631730
    0.030000    -0.013800    -0.013800 1657904.431785
    0.050000    -0.013801    -0.013800 2763174.031893
    0.080000    -0.013800    -0.013799 4421078.432055
    0.130000    -0.013799    -0.013800 7184252.432325
    0.200000    -0.013800    -0.013801 11052696.032703
    0.320000    -0.013799    -0.013801 17684313.633352
    0.500000    -0.013800    -0.013800 27631740.034326
