    0.005000    -0.013797    -0.013934 276317.431706
    0.010000    -0.013943    -0.013731 552634.831746
    0.015000    -0.013829    -0.013849 828952.231786
    0.020000    -0.013796    -0.013798 1105269.631828
    0.030000    -0.013828    -0.013866 1657904.431908
    0.050000    -0.013940    -0.013712 2763174.032070
    0.080000    -0.013896    -0.013773 4421078.432320
    0.130000    -0.013879    -0.013819 7184252.432736
    0.200000    -0.013826    -0.013744 11052696.033354
    0.320000    -0.013830    -0.013834 17684313.634565
    0.500000    -0.013840    -0.013853 27631740.036190
