    0.005000 276317.386242    -0.013797     0.031610
    0.010000 552634.786280    -0.013797     0.031610
    0.015000 828952.186319    -0.013796     0.031610
    0.020000 1105269.586358    -0.013797     0.031610
    0.030000 1657904.386435    -0.013797     0.031610
    0.050000 2763173.986590    -0.013797     0.031610
    0.080000 4421078.386823    -0.013797     0.031610
    0.130000 7184252.387211    -0.013796     0.031610
    0.200000 11052695.987759    -0.013796     0.031610
    0.320000 17684313.588705    -0.013798     0.031610
    0.500000 27631739.990151    -0.013797     0.031610
