mesh size = 12
temperatures   free_energy      entropy        heat_capacity
       0.000    9133.3309137      0.0000000      0.0000000
      10.000    9133.2601334     29.7542611     85.8660235
      20.000    9132.3796193    158.1321644    315.4974088
      30.000    9129.9609129    329.2356724    539.9323761
      40.000    9125.7560496    512.5414657    739.8457631
      50.000    9119.7068070    697.0342260    916.9413540
      60.000    9111.8255843    878.5445429   1076.5161660
      70.000    9102.1507224   1055.6459703   1223.1668883
      80.000    9090.7285122   1228.0055708   1359.9894619
      90.000    9077.6061581   1395.7053697   1488.9656737
     100.000    9062.8291764   1558.9750926   1611.4572849
     110.000    9046.4404959   1718.0933507   1728.5385057
     120.000    9028.4801696   1873.3536266   1841.1624819
     130.000    9008.9852943   2025.0525405   1950.2175048
     140.000    8987.9900085   2173.4843203   2056.5272708
     150.000    8965.5255390   2318.9363962   2160.8321590
     160.000    8941.6202900   2461.6851639   2263.7712011
     170.000    8916.2999729   2601.9921700   2365.8723030
     180.000    8889.5877713   2740.1010920   2467.5515502
     190.000    8861.5045298   2876.2356991   2569.1195680
     200.000    8832.0689600   3010.5987862   2670.7922652
     210.000    8801.2978515   3143.3719508   2772.7036490
     220.000    8769.2062824   3274.7160340   2874.9190646
     230.000    8735.8078224   3404.7720417   2977.4478441
     240.000    8701.1147252   3533.6623862   3080.2548255
     250.000    8665.1381076   3661.4923176   3183.2705265
     260.000    8627.8881133   3788.3514468   3286.3999424
     270.000    8589.3740616   3914.3152884   3389.5300392
     280.000    8549.6045808   4039.4467734   3492.5360592
     290.000    8508.5877269   4163.7976997   3595.2867634
     300.000    8466.3310876   4287.4100969   3697.6487381
     310.000    8422.8418741   4410.3174963   3799.4898799
     320.000    8378.1269997   4532.5460971   3900.6821626
     330.000    8332.1931478   4654.1158292   4001.1037798
     340.000    8285.0468301   4775.0413130   4100.6407479
     350.000    8236.6944347   4895.3327191   4199.1880443
     360.000    8187.1422673   5014.9965341   4296.6503511
     370.000    8136.3965842   5134.0362365   4392.9424662
     380.000    8084.4636192   5252.4528898   4487.9894384
     390.000    8031.3496058   5370.2456592   4581.7264779
     400.000    7977.0607932   5487.4122581   4674.0986879
     410.000    7921.6034590   5603.9493314   4765.0606569
     420.000    7864.9839186   5719.8527805   4854.5759476
     430.000    7807.2085307   5835.1180384   4942.6165126
     440.000    7748.2837011   5949.7402985   5029.1620617
     450.000    7688.2158842   6063.7147025   5114.1994049
     460.000    7627.0115825   6177.0364947   5197.7217858
     470.000    7564.6773448   6289.7011436   5279.7282223
     480.000    7501.2197641   6401.7044385   5360.2228642
     490.000    7436.6454734   6513.0425621   5439.2143775
     500.000    7370.9611414   6623.7121439   5516.7153608
     510.000    7304.1734686   6733.7102978   5592.7417983
     520.000    7236.2891816   6843.0346447   5667.3125533
     530.000    7167.3150280   6951.6833245   5740.4489013
     540.000    7097.2577718   7059.6549982   5812.1741054
     550.000    7026.1241875   7166.9488427   5882.5130313
     560.000    6953.9210555   7273.5645393   5951.4918030
     570.000    6880.6551567   7379.5022574   6019.1374948
     580.000    6806.3332682   7484.7626346   6085.4778599
     590.000    6730.9621583   7589.3467546   6150.5410916
     600.000    6654.5485823   7693.2561224   6214.3556165
     610.000    6577.0992787   7796.4926389   6276.9499144
     620.000    6498.6209649   7899.0585748   6338.3523658
     630.000    6419.1203338   8000.9565444   6398.5911220
     640.000    6338.6040508   8102.1894792   6457.6939961
     650.000    6257.0787503   8202.7606023   6515.6883741
     660.000    6174.5510332   8302.6734037   6572.6011409
     670.000    6091.0274642   8401.9316162   6628.4586235
     680.000    6006.5145697   8500.5391921   6683.2865450
     690.000    5921.0188353   8598.5002818   6737.1099913
     700.000    5834.5467046   8695.8192126   6789.9533877
     710.000    5747.1045767   8792.5004694   6841.8404827
     720.000    5658.6988054   8888.5486763   6892.7943408
     730.000    5569.3356975   8983.9685796   6942.8373400
     740.000    5479.0215120   9078.7650316   6991.9911754
     750.000    5387.7624586   9172.9429757   7040.2768659
     760.000    5295.5646974   9266.5074333   7087.7147662
     770.000    5202.4343379   9359.4634904   7134.3245796
     780.000    5108.3774385   9451.8162861   7180.1253746
     790.000    5013.4000058   9543.5710026   7225.1356021
     800.000    4917.5079946   9634.7328543   7269.3731149
     810.000    4820.7073075   9725.3070797   7312.8551869
     820.000    4723.0037943   9815.2989331   7355.5985339
     830.000    4624.4032525   9904.7136769   7397.6193345
     840.000    4524.9114269   9993.5565750   7438.9332503
     850.000    4424.5340096  10081.8328871   7479.5554469
     860.000    4323.2766403  10169.5478626   7519.5006141
     870.000    4221.1449060  10256.7067363   7558.7829861
     880.000    4118.1443418  10343.3147236   7597.4163607
     890.000    4014.2804305  10429.3770164   7635.4141183
     900.000    3909.5586033  10514.8987803   7672.7892400
     910.000    3803.9842396  10599.8851505   7709.5543255
     920.000    3697.5626679  10684.3412299   7745.7216093
     930.000    3590.2991657  10768.2720860   7781.3029775
     940.000    3482.1989601  10851.6827492   7816.3099828
     950.000    3373.2672281  10934.5782108   7850.7538592
     960.000    3263.5090968  11016.9634211   7884.6455361
     970.000    3152.9296441  11098.8432884   7917.9956512
     980.000    3041.5338992  11180.2226777   7950.8145635
     990.000    2929.3268428  11261.1064095   7983.1123646
    1000.000    2816.3134073  11341.4992591   8014.8988905
