    0.00500000    -0.00000006     0.00000005     0.00000187
    0.01000000    -0.00000004     0.00000011     0.00000385
    0.01500000    -0.00000003     0.00000006     0.00000582
    0.02000000    -0.00000002     0.00000001     0.00000777
    0.03000000    -0.00000008    -0.00000002     0.00001162
    0.05000000    -0.00000003     0.00000002     0.00001926
    0.08000000     0.00000002     0.00000001     0.00003095
    0.13000000    -0.00000003     0.00000004     0.00005022
    0.20000000    -0.00000002    -0.00000002     0.00007716
    0.32000000     0.00000002    -0.00000000     0.00012355
    0.50000000    -0.00000002    -0.00000009     0.00019304
