    0.00500000     0.99773338     1.00186964     1.06782010
    0.01000000     0.99924952     1.00194871     1.06972697
    0.01500000     0.99957812     1.00071211     1.07021210
    0.02000000     0.99977849     1.00011211     1.07031210
    0.03000000     0.99950406     0.99990462     1.07006623
    0.05000000     0.99987686     1.00008216     1.06971125
    0.08000000     1.00005223     1.00002678     1.07000120
    0.13000000     0.99996012     1.00005063     1.06989759
    0.20000000     0.99998044     0.99998030     1.06980762
    0.32000000     1.00001403     0.99999896     1.06986564
    0.50000000     0.99999147     0.99996837     1.06986279
