    0.005000    -0.013925    -0.013829 276317.431692
    0.010000    -0.013807    -0.013881 552634.831731
    0.015000    -0.013931    -0.013900 828952.231768
    0.020000    -0.013814    -0.013846 1105269.631806
    0.030000    -0.013905    -0.013930 1657904.431884
    0.050000    -0.013890    -0.013790 2763174.032037
    0.080000    -0.013814    -0.013825 4421078.432268
    0.130000    -0.013742    -0.013792 7184252.432666
    0.200000    -0.013806    -0.013826 11052696.033250
    0.320000    -0.013903    -0.013844 17684313.634394
    0.500000    -0.013851    -0.013848 27631740.035956
