    0.005000    -0.013800    -0.013802 276317.431651
    0.010000    -0.013802    -0.013800 552634.831679
    0.015000    -0.013801    -0.013802 828952.231708
    0.020000    -0.013802    -0.013802 1105269.631737
    0.030000    -0.013802    -0.013801 1657904.431793
    0.050000    -0.013801    -0.013802 2763174.031907
    0.080000    -0.013801    -0.013802 4421078.432078
    0.130000    -0.013801    -0.013802 7184252.432364
    0.200000    -0.013801    -0.013802 11052696.032763
    0.320000    -0.013802    -0.013802 17684313.633448
    0.500000    -0.013802    -0.013801 27631740.034473
