    0.005000    -0.014229    -0.014414 276317.440394
    0.010000    -0.013553    -0.014861 552634.847710
    0.015000    -0.014103    -0.014002 828952.253180
    0.020000    -0.014405    -0.013834 1105269.657649
    0.030000    -0.013727    -0.013895 1657904.464273
    0.050000    -0.014136    -0.013757 2763174.072755
    0.080000    -0.014021    -0.013514 4421078.482059
    0.130000    -0.013812    -0.013650 7184252.491657
    0.200000    -0.014203    -0.013701 11052696.099125
    0.320000    -0.013708    -0.014140 17684313.706255
    0.500000    -0.013831    -0.013762 27631740.112167
