    0.005000    -0.013765    -0.013860 276317.432140
    0.010000    -0.013824    -0.013861 552634.832647
    0.015000    -0.013888    -0.013840 828952.233359
    0.020000    -0.013656    -0.013813 1105269.633777
    0.030000    -0.013780    -0.013801 1657904.434561
    0.050000    -0.013781    -0.013899 2763174.035691
    0.080000    -0.013922    -0.013769 4421078.436800
    0.130000    -0.013748    -0.013832 7184252.438125
    0.200000    -0.013802    -0.013790 11052696.039450
    0.320000    -0.013861    -0.013821 17684313.641447
    0.500000    -0.013872    -0.013837 27631740.043457
