    0.005000    -0.013901    -0.013904 276317.431705
    0.010000    -0.013819    -0.013840 552634.831744
    0.015000    -0.013837    -0.013840 828952.231783
    0.020000    -0.013861    -0.013896 1105269.631823
    0.030000    -0.013845    -0.013759 1657904.431901
    0.050000    -0.013751    -0.013898 2763174.032060
    0.080000    -0.013924    -0.013841 4421078.432296
    0.130000    -0.013902    -0.013940 7184252.432703
    0.200000    -0.013859    -0.013825 11052696.033298
    0.320000    -0.013828    -0.013884 17684313.634486
    0.500000    -0.013870    -0.013831 27631740.036055
