    0.00500000    -0.00000086    -0.00000419     0.00000247
    0.01000000     0.00000432    -0.00000016     0.00000493
    0.01500000     0.00000317    -0.00000017     0.00000735
    0.02000000     0.00000165    -0.00000367     0.00000986
    0.03000000     0.00000265     0.00000491     0.00001468
    0.05000000     0.00000855    -0.00000380     0.00002464
    0.08000000    -0.00000227    -0.00000023     0.00003935
    0.13000000    -0.00000092    -0.00000643     0.00006475
    0.20000000     0.00000177     0.00000079     0.00010193
    0.32000000     0.00000375    -0.00000294     0.00017603
    0.50000000     0.00000112     0.00000039     0.00027400
