mesh size = 12
temperatures   free_energy      entropy        heat_capacity
       0.000    9144.1049036      0.0000000      0.0000000
      10.000    9143.9705236     38.5138472     83.5257496
      20.000    9143.0291452    160.7244438    299.9439539
      30.000    9140.6239111    323.9709259    516.9161198
      40.000    9136.5083546    500.1462552    713.9375434
      50.000    9130.6129473    678.9140653    892.0653854
      60.000    9122.9354812    856.1332857   1054.5700104
      70.000    9113.5012314   1030.0999358   1204.5028371
      80.000    9102.3465432   1200.1630708   1344.2315826
      90.000    9089.5115913   1366.1466904   1475.5281173
     100.000    9075.0370678   1528.0961712   1599.7780209
     110.000    9058.9626085   1686.1652588   1718.1542921
     120.000    9041.3259991   1840.5644008   1831.7149081
     130.000    9022.1627507   1991.5349678   1941.4361685
     140.000    9001.5058720   2139.3340245   2048.2095156
     150.000    8979.3857681   2284.2236110   2152.8258857
     160.000    8955.8302344   2426.4624864   2255.9619296
     170.000    8930.8645221   2566.2997596   2358.1738655
     180.000    8904.5114599   2703.9702261   2459.8994421
     190.000    8876.7916136   2839.6912515   2561.4661199
     200.000    8847.7234703   2973.6609812   2663.1030351
     210.000    8817.3236354   3106.0576199   2764.9546405
     220.000    8785.6070315   3237.0395233   2867.0945249
     230.000    8752.5870947   3366.7458695   2969.5384866
     240.000    8718.2759606   3495.2977202   3072.2563822
     250.000    8682.6846395   3622.7993205   3175.1825644
     260.000    8645.8231773   3749.3395257   3278.2248978
     270.000    8607.7008024   3874.9932734   3381.2724348
     280.000    8568.3260572   3999.8230450   3484.2018741
     290.000    8527.7069156   4123.8802775   3586.8829313
     300.000    8485.8508867   4247.2067026   3689.1827525
     310.000    8442.7651058   4369.8355954   3790.9694868
     320.000    8398.4564127   4491.7929279   3892.1151262
     330.000    8352.9314195   4613.0984214   3992.4977064
     340.000    8306.1965685   4733.7664995   4092.0029571
     350.000    8258.2581805   4853.8071437   4190.5254786
     360.000    8209.1224957   4973.2266558   4287.9695151
     370.000    8158.7957066   5092.0283320   4384.2493891
     380.000    8107.2839854   5210.2130554   4479.2896559
     390.000    8054.5935052   5327.7798118   4573.0250272
     400.000    8000.7304571   5444.7261363   4665.4001142
     410.000    7945.7010623   5561.0484965   4756.3690275
     420.000    7889.5115813   5676.7426185   4845.8948721
     430.000    7832.1683198   5791.8037615   4933.9491667
     440.000    7773.6776325   5906.2269474   5020.5112144
     450.000    7714.0459242   6020.0071495   5105.5674466
     460.000    7653.2796493   6133.1394464   5189.1107579
     470.000    7591.3853106   6245.6191447   5271.1398460
     480.000    7528.3694563   6357.4418753   5351.6585695
     490.000    7464.2386763   6468.6036668   5430.6753313
     500.000    7398.9995979   6579.1009990   5508.2024934
     510.000    7332.6588813   6688.9308402   5584.2558294
     520.000    7265.2232145   6798.0906706   5658.8540156
     530.000    7196.6993080   6906.5784939   5732.0181632
     540.000    7127.0938896   7014.3928400   5803.7713919
     550.000    7056.4136993   7121.5327592   5874.1384434
     560.000    6984.6654840   7227.9978109   5943.1453351
     570.000    6911.8559926   7333.7880474   6010.8190511
     580.000    6837.9919708   7438.9039942   6077.1872689
     590.000    6763.0801571   7543.3466270   6142.2781196
     600.000    6687.1272780   7647.1173475   6206.1199789
     610.000    6610.1400439   7750.2179578   6268.7412867
     620.000    6532.1251453   7852.6506338   6330.1703929
     630.000    6453.0892493   7954.4178992   6390.4354262
     640.000    6373.0389959   8055.5225990   6449.5641846
     650.000    6291.9809954   8155.9678735   6507.5840448
     660.000    6209.9218252   8255.7571338   6564.5218884
     670.000    6126.8680273   8354.8940370   6620.4040431
     680.000    6042.8261061   8453.3824635   6675.2562370
     690.000    5957.8025260   8551.2264946   6729.1035641
     700.000    5871.8037100   8648.4303922   6781.9704602
     710.000    5784.8360372   8744.9985781   6833.8806868
     720.000    5696.9058422   8840.9356168   6884.8573228
     730.000    5608.0194131   8936.2461970   6934.9227621
     740.000    5518.1829905   9030.9351164   6984.0987162
     750.000    5427.4027667   9125.0072664   7032.4062217
     760.000    5335.6848845   9218.4676181   7079.8656504
     770.000    5243.0354369   9311.3212098   7126.4967236
     780.000    5149.4604659   9403.5731351   7172.3185273
     790.000    5054.9659626   9495.2285322   7217.3495297
     800.000    4959.5578664   9586.2925738   7261.6076004
     810.000    4863.2420650   9676.7704584   7305.1100298
     820.000    4766.0243937   9766.6674016   7347.8735496
     830.000    4667.9106360   9855.9886292   7389.9143533
     840.000    4568.9065228   9944.7393698   7431.2481169
     850.000    4469.0177328  10032.9248490   7471.8900194
     860.000    4368.2498926  10120.5502838   7511.8547637
     870.000    4266.6085766  10207.6208775   7551.1565957
     880.000    4164.0993072  10294.1418156   7589.8093244
     890.000    4060.7275553  10380.1182610   7627.8263404
     900.000    3956.4987399  10465.5553513   7665.2206343
     910.000    3851.4182290  10550.4581951   7702.0048144
     920.000    3745.4913399  10634.8318691   7738.1911231
     930.000    3638.7233388  10718.6814162   7773.7914537
     940.000    3531.1194419  10802.0118425   7808.8173651
     950.000    3422.6848157  10884.8281159   7843.2800972
     960.000    3313.4245770  10967.1351646   7877.1905842
     970.000    3203.3437936  11048.9378749   7910.5594684
     980.000    3092.4474845  11130.2410909   7943.3971124
     990.000    2980.7406207  11211.0496128   7975.7136111
    1000.000    2868.2281254  11291.3681961   8007.5188030
