    0.005000 276317.387448    -0.013969     0.031627
    0.010000 552634.788384    -0.013953     0.031628
    0.015000 828952.189343    -0.013905     0.031627
    0.020000 1105269.590019    -0.013841     0.031627
    0.030000 1657904.391202    -0.013857     0.031627
    0.050000 2763173.992287    -0.013846     0.031628
    0.080000 4421078.393098    -0.013839     0.031626
    0.130000 7184252.393860    -0.013809     0.031627
    0.200000 11052695.994686    -0.013826     0.031628
    0.320000 17684313.595907    -0.013825     0.031625
    0.500000 27631739.997572    -0.013835     0.031625
