mesh size = 12
temperatures   free_energy      entropy        heat_capacity
       0.000    9142.4197535      0.0000000      0.0000000
      10.000    9142.3095001     38.8295810     91.5974355
      20.000    9141.3287825    167.9156396    311.7835585
      30.000    9138.8243128    336.4134937    530.8142312
      40.000    9134.5630071    516.6794005    728.2909077
      50.000    9128.4857700    698.6116516    905.9453263
      60.000    9120.5985622    878.2793279   1067.4514901
      70.000    9110.9329883   1054.1367559   1216.0859893
      80.000    9099.5303380   1225.6548640   1354.4046653
      90.000    9086.4346332   1392.7565822   1484.3301561
     100.000    9071.6895166   1555.5680951   1607.3459334
     110.000    9055.3368487   1714.3077206   1724.6730169
     120.000    9037.4160683   1869.2360987   1837.3809000
     130.000    9017.9639000   2020.6326715   1946.4350379
     140.000    8997.0142359   2168.7828189   2052.7045993
     150.000    8974.5981214   2313.9693124   2156.9540348
     160.000    8950.7438145   2456.4658979   2259.8335684
     170.000    8925.4769018   2596.5324005   2361.8753061
     180.000    8898.8204566   2734.4112041   2463.4961908
     190.000    8870.7952254   2870.3250002   2565.0064327
     200.000    8841.4198314   3004.4756421   2666.6213105
     210.000    8810.7109849   3137.0438978   2768.4744481
     220.000    8778.6836922   3268.1898856   2870.6311893
     230.000    8745.3514581   3398.0539929   2973.1012197
     240.000    8710.7264770   3526.7581137   3075.8499949
     250.000    8674.8198113   3654.4070720   3178.8088068
     260.000    8637.6415537   3781.0901345   3281.8834854
     270.000    8599.2009760   3906.8825422   3384.9618157
     280.000    8559.5066614   4031.8470110   3487.9197874
     290.000    8518.5666224   4156.0351706   3590.6268034
     300.000    8476.3884051   4279.4889194   3692.9499664
     310.000    8432.9791798   4402.2416851   3794.7575580
     320.000    8388.3458203   4524.3195833   3895.9218076
     330.000    8342.4949709   4645.7424743   3996.3210441
     340.000    8295.4331051   4766.5249171   4095.8413107
     350.000    8247.1665733   4886.6770260   4194.3775177
     360.000    8197.7016439   5006.2052328   4291.8342012
     370.000    8147.0445366   5125.1129609   4388.1259483
     380.000    8095.2014494   5243.4012167   4483.1775472
     390.000    8042.1785800   5361.0691056   4576.9239097
     400.000    7987.9821429   5478.1142778   4669.3098143
     410.000    7932.6183815   5594.5333113   4760.2895087
     420.000    7876.0935776   5710.3220372   4849.8262067
     430.000    7818.4140572   5825.4758152   4937.8915113
     440.000    7759.5861941   5939.9897618   5024.4647879
     450.000    7699.6164113   6053.8589401   5109.5325113
     460.000    7638.5111807   6167.0785132   5193.0876035
     470.000    7576.2770218   6279.6438673   5275.1287765
     480.000    7512.9204984   6391.5507080   5355.6598921
     490.000    7448.4482157   6502.7951338   5434.6893472
     500.000    7382.8668154   6613.3736902   5512.2294910
     510.000    7316.1829714   6723.2834069   5588.2960786
     520.000    7248.4033850   6832.5218214   5662.9077635
     530.000    7179.5347792   6941.0869913   5736.0856311
     540.000    7109.5838941   7048.9774964   5807.8527729
     550.000    7038.5574812   7156.1924339   5878.2339013
     560.000    6966.4622987   7262.7314070   5947.2550036
     570.000    6893.3051060   7368.5945092   6014.9430333
     580.000    6819.0926596   7473.7823039   6081.3256380
     590.000    6743.8317076   7578.2958027   6146.4309190
     600.000    6667.5289864   7682.1364409   6210.2872233
     610.000    6590.1912156   7785.3060517   6272.9229633
     620.000    6511.8250948   7887.8068407   6334.3664623
     630.000    6432.4372998   7989.6413591   6394.6458238
     640.000    6352.0344790   8090.8124777   6453.7888221
     650.000    6270.6232510   8191.3233612   6511.8228116
     660.000    6188.2102012   8291.1774435   6568.7746532
     670.000    6104.8018792   8390.3784033   6624.6706553
     680.000    6020.4047972   8488.9301413   6679.5365280
     690.000    5935.0254268   8586.8367581   6733.3973491
     700.000    5848.6701982   8684.1025334   6786.2775394
     710.000    5761.3454975   8780.7319066   6838.2008469
     720.000    5673.0576661   8876.7294580   6889.1903384
     730.000    5583.8129988   8972.0998920   6939.2683969
     740.000    5493.6177427   9066.8480209   6988.4567241
     750.000    5402.4780964   9160.9787499   7036.7763482
     760.000    5310.4002090   9254.4970635   7084.2476338
     770.000    5217.3901796   9347.4080127   7130.8902958
     780.000    5123.4540563   9439.7167032   7176.7234149
     790.000    5028.5978359   9531.4282847   7221.7654551
     800.000    4932.8274637   9622.5479412   7266.0342826
     810.000    4836.1488328   9713.0808815   7309.5471851
     820.000    4738.5677844   9803.0323317   7352.3208925
     830.000    4640.0901071   9892.4075273   7394.3715972
     840.000    4540.7215372   9981.2117065   7435.7149749
     850.000    4440.4677589  10069.4501039   7476.3662048
     860.000    4339.3344037  10157.1279453   7516.3399904
     870.000    4237.3270511  10244.2504428   7555.6505791
     880.000    4134.4512286  10330.8227898   7594.3117816
     890.000    4030.7124119  10416.8501575   7632.3369907
     900.000    3926.1160249  10502.3376910   7669.7391999
     910.000    3820.6674405  10587.2905066   7706.5310201
     920.000    3714.3719803  10671.7136883   7742.7246974
     930.000    3607.2349153  10755.6122860   7778.3321285
     940.000    3499.2614664  10838.9913128   7813.3648763
     950.000    3390.4568044  10921.8557435   7847.8341848
     960.000    3280.8260504  11004.2105126   7881.7509924
     970.000    3170.3742767  11086.0605131   7915.1259461
     980.000    3059.1065066  11167.4105952   7947.9694130
     990.000    2947.0277151  11248.2655652   7980.2914929
    1000.000    2834.1428297  11328.6301849   8012.1020292
