    0.005000    -0.013999    -0.013848 276317.433634
    0.010000    -0.013549    -0.013826 552634.835265
    0.015000    -0.013861    -0.013848 828952.236169
    0.020000    -0.014089    -0.013737 1105269.638045
    0.030000    -0.013808    -0.013653 1657904.440307
    0.050000    -0.013918    -0.013869 2763174.043293
    0.080000    -0.013671    -0.013843 4421078.445884
    0.130000    -0.013668    -0.013802 7184252.448263
    0.200000    -0.013637    -0.013857 11052696.050123
    0.320000    -0.013821    -0.014011 17684313.652157
    0.500000    -0.013737    -0.013845 27631740.054193
