    0.005000    -0.013742    -0.013971 276317.433152
    0.010000    -0.013816    -0.013866 552634.834533
    0.015000    -0.014077    -0.013867 828952.235307
    0.020000    -0.014005    -0.013806 1105269.636466
    0.030000    -0.013955    -0.013893 1657904.438753
    0.050000    -0.013813    -0.013916 2763174.041817
    0.080000    -0.013834    -0.013935 4421078.444713
    0.130000    -0.013833    -0.013871 7184252.447460
    0.200000    -0.013883    -0.013742 11052696.049731
    0.320000    -0.013850    -0.013876 17684313.652489
    0.500000    -0.013877    -0.013909 27631740.055183
