    0.005000 276317.387189    -0.013747     0.031658
    0.010000 552634.788430    -0.013912     0.031041
    0.015000 828952.189436    -0.013922     0.031983
    0.020000 1105269.590313    -0.013975     0.031605
    0.030000 1657904.392300    -0.013628     0.032043
    0.050000 2763173.995492    -0.013578     0.031551
    0.080000 4421078.398869    -0.013911     0.031428
    0.130000 7184252.401968    -0.013875     0.032010
    0.200000 11052696.004607    -0.013837     0.031398
    0.320000 17684313.607221    -0.013836     0.030932
    0.500000 27631740.009997    -0.013908     0.031309
