    0.005000 276317.387360    -0.013914     0.031665
    0.010000 552634.788441    -0.013879     0.031665
    0.015000 828952.189306    -0.013862     0.031665
    0.020000 1105269.590058    -0.013814     0.031664
    0.030000 1657904.391130    -0.013822     0.031664
    0.050000 2763173.992196    -0.013825     0.031664
    0.080000 4421078.392953    -0.013864     0.031666
    0.130000 7184252.393723    -0.013858     0.031666
    0.200000 11052695.994538    -0.013849     0.031665
    0.320000 17684313.595740    -0.013852     0.031666
    0.500000 27631739.997347    -0.013851     0.031665
